       1  3802913  |        1  3802913  |  3802913  3802913  |   100.00  |  3802913  3802913  |   100.00   100.00  | CP021422.1	CP021422.1	[IDENTITY]
   21275    21433  |  3767263  3767106  |      159      158  |    99.37  |  3802913  3802913  |     0.00     0.00  | CP021422.1	CP021422.1	
   24670    25299  |  3763536  3762907  |      630      630  |    98.41  |  3802913  3802913  |     0.02     0.02  | CP021422.1	CP021422.1	
   24687    25299  |    33039    32427  |      613      613  |    97.72  |  3802913  3802913  |     0.02     0.02  | CP021422.1	CP021422.1	
   32426    32513  |    45183    45096  |       88       88  |   100.00  |  3802913  3802913  |     0.00     0.00  | CP021422.1	CP021422.1	
   32427    33039  |    25299    24687  |      613      613  |    97.72  |  3802913  3802913  |     0.02     0.02  | CP021422.1	CP021422.1	
   33077    33341  |    44481    44217  |      265      265  |    96.98  |  3802913  3802913  |     0.01     0.01  | CP021422.1	CP021422.1	
   44217    44481  |    33341    33077  |      265      265  |    96.98  |  3802913  3802913  |     0.01     0.01  | CP021422.1	CP021422.1	
   45096    45183  |    32513    32426  |       88       88  |   100.00  |  3802913  3802913  |     0.00     0.00  | CP021422.1	CP021422.1	
  192074   193177  |  3173293  3172190  |     1104     1104  |   100.00  |  3802913  3802913  |     0.03     0.03  | CP021422.1	CP021422.1	
  194482   194795  |  1417663  1417350  |      314      314  |    93.31  |  3802913  3802913  |     0.01     0.01  | CP021422.1	CP021422.1	
  203494   203758  |  3017156  3016893  |      265      264  |    83.02  |  3802913  3802913  |     0.01     0.01  | CP021422.1	CP021422.1	
  235386   235920  |  2520864  2520333  |      535      532  |    84.73  |  3802913  3802913  |     0.01     0.01  | CP021422.1	CP021422.1	
  235541   235921  |  2419400  2419020  |      381      381  |    81.46  |  3802913  3802913  |     0.01     0.01  | CP021422.1	CP021422.1	
  247410   247611  |  3405431  3405230  |      202      202  |    95.54  |  3802913  3802913  |     0.01     0.01  | CP021422.1	CP021422.1	
  248472   254957  |  3333983  3327498  |     6486     6486  |    99.72  |  3802913  3802913  |     0.17     0.17  | CP021422.1	CP021422.1	
  252547   252971  |   171862   171438  |      425      425  |    85.65  |  3802913  3802913  |     0.01     0.01  | CP021422.1	CP021422.1	
  253417   253795  |   171433   171063  |      379      371  |    87.14  |  3802913  3802913  |     0.01     0.01  | CP021422.1	CP021422.1	
  254693   254865  |  2907693  2907521  |      173      173  |    96.53  |  3802913  3802913  |     0.00     0.00  | CP021422.1	CP021422.1	
  254693   254861  |  3350322  3350154  |      169      169  |    97.63  |  3802913  3802913  |     0.00     0.00  | CP021422.1	CP021422.1	
  254693   254823  |  2742102  2741972  |      131      131  |    96.18  |  3802913  3802913  |     0.00     0.00  | CP021422.1	CP021422.1	
